PORT_ID,TERMINAL_ID,IS_BALLAST,n_obs,median_days_in_port,p10_days_in_port,p90_days_in_port
103029,,1,68,1.75,0.25,2.4722222222222223
101122,,0,64,2.0,0.25,2.679582175925926
104526,,1,48,2.124878472222222,1.925,3.7666666666666666
100469,,0,45,0.5,0.5,5.011909722222223
103029,,0,43,0.25,0.25,3.2999490740740782
104526,,0,30,0.5,0.4750000000000001,2.683333333333335
101967,,0,29,2.0,1.4500000000000004,2.25
100682,,1,26,5.011901452546296,4.797673611111111,5.261898148148148
100817,,0,26,0.25,0.25,1.75
102955,,0,24,3.4166666666666665,1.75,5.261898148148148
101435,,0,23,0.5,0.25,3.6000000000000014
100963,,0,21,1.0,1.0,1.0
104131,,1,19,2.25,0.25,2.8999999999999986
102825,,1,19,3.0,2.0,4.0
103378,,1,19,0.5,0.5,1.0
103527,,0,17,2.0,0.25,2.1
101690,,1,15,1.0,1.0,1.0
102146,,0,13,0.5,0.5,0.5
106354,,0,13,0.5,0.25,3.223333333333336
100195,,0,13,3.5695833333333336,2.4722222222222223,3.6666666666666665
101690,,0,12,1.0,1.0,2.0
100265,,0,12,0.5,0.25,0.5
104146,,1,11,0.25,0.25,0.25
110107,,1,11,0.25,0.25,1.0
101962,,0,10,0.25,0.25,0.25
103963,,0,10,1.0,0.95,2.0
101677,,1,10,4.773819444444444,3.654760416666667,6.0625
100343,,0,10,0.5,0.5,5.270833333333333
102517,,1,9,2.25,0.9166666666666666,4.746666666666667
102567,,0,9,0.5,0.5,0.9791666666666666
103707,,1,9,0.25,0.25,2.25
102355,,0,8,1.2496643518518518,1.2496643518518518,2.0
102379,,0,8,0.25,0.25,2.0
104130,,1,8,2.0,0.25,2.0
103274,,0,8,1.3333333333333333,1.3333333333333333,2.6333333333333333
101506,,0,8,4.25,2.1708333333333334,4.25
104559,,1,8,1.25,1.25,1.25
100694,,0,8,0.25,0.25,0.25
104284,,0,7,1.25,1.25,1.25
104131,,0,7,0.5,0.5,0.5
101014,,0,7,2.25,2.25,2.25
101799,,0,7,2.25,2.25,2.25
101122,,1,7,0.25,0.25,0.25
101278,,1,6,3.0,3.0,3.0
103315,,1,6,2.0,2.0,2.0
101040,,1,6,8.583333333333334,8.583333333333334,8.583333333333334
106681,,1,6,2.5,2.5,2.5
101749,,0,6,0.25,0.25,0.25
101266,,1,6,6.522789351851852,6.522789351851852,6.522789351851852
108623,,1,6,0.25,0.25,0.25
101390,,0,6,2.5,2.5,2.5
102036,,0,6,4.0,4.0,4.0
101110,,0,6,0.25,0.25,0.25
101651,,0,6,2.0,2.0,2.0
104698,,1,6,4.841666666666667,4.841666666666667,4.841666666666667
