"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","IS_BALLAST","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","TERMINAL_ID","LAYCAN_START_UTC","LAYCAN_END_UTC","FREIGHT","GROSS_FREIGHT","NET_FREIGHT","FREIGHT_COST","PORT_COST","HANDLING_COST","VOYAGE_CANAL_COST","FO_COST","DO_COST","VARIOUS_COST","VARIOUS_REVENUE","RUNNING_COST","RUNNING_COST_PER_DAY"
2426203,1043280,"A",22-SEP-25,0,,0,,0,29820.425162561827,278.3930569919697,0,0,278.3930569919697,0,104546,100817,,,,,,9994310.746011714,10035499.56327162,9785641.794621326,0,0,0,0,0,0,30180,30180,0,0
2426749,1043194,"A",22-SEP-25,0,,0,,0,14974.629343087989,70.89513888888891,0,0,70.89513888888891,0,103281,101514,,,,,,2410434.722222223,1998580.342222223,1948615.8336666676,0,0,0,0,0,0,0,-411854.38,0,0
2449522,1042332,"A",01-OCT-25,0,,0,,43,33134.91260483418,647.0000094665893,0,0,647.0000094665893,0,103029,102700,,,,,,11496250.177499536,11496250.177499536,11352547.050280793,0,0,0,0,0,0,0,0,0,0
2451079,1041696,"A",23-SEP-25,0,,0,,0,32778.61141331801,158.19750665154035,0,0,158.19750665154035,0,103707,102567,,,,,,5497363.356141027,5503642.022169123,5366207.938265597,0,0,0,0,0,0,0,0,0,0
2451540,1041768,"A",23-SEP-25,0,,0,,258.7838588498829,11056.034053552026,241.25000068045347,0,0.3333333333333333,240.91666734712012,0,101376,103571,,,,,,8618135.441333102,8641497.29619816,8426043.910164831,0,0,0,0,0,0,115,13969.5,0,0
2498440,1042444,"A",01-OCT-25,0,,0,,0,19643.326012580404,663.9999999999816,0,0,663.9999999999816,0,103029,101013,,,,,,11785999.999999672,11785999.999999672,11638674.999999676,0,0,0,0,0,0,0,0,0,0
2500387,1042612,"A",01-OCT-25,0,,0,,8409.519431632201,22436.262312925835,1072.0000000000016,0,0,1072.0000000000016,0,103706,106257,,,,,,25620800.000000037,25625600.000000037,25305340.000000037,0,0,0,0,0,0,6400,4800,0,0
2527525,1042900,"A",28-SEP-25,0,,0,,2237.7935927120025,3494.4188467260515,19,8.541666666666668,6.804166666666666,12.195833333333333,0,103707,100195,,,,05-SEP-25,09-SEP-25,1394914.1745,1485653.1745,1448511.8451375,0,165247.82,0,0,0,0,-177338,0,0,0
2555081,1041462,"A",30-SEP-25,0,,0,,0,28946.968950698414,611.9999999999962,0,0,611.9999999999962,0,108424,100560,,,,,,23408999.999999855,23433159.999999847,22847934.99999985,0,0,0,0,0,0,0,0,0,0
2562584,2382635,"A",19-AUG-25,0,,0,,1179.8608552671847,7529.168682223437,27.979166666666668,20.958333333333332,3.5416666666666665,24.4375,0,100264,100021,,,,25-AUG-25,26-AUG-25,1375000,1790313.888888889,1723177.1180555557,0,182107.52000000002,0,0,0,0,100831.18,0,0,0
2566984,1042150,"A",15-SEP-25,0,,0,,801.3590220947585,582.8404228735053,13.370833333333334,6.466666666666665,11.516666666666667,1.8541666666666667,0,102825,105088,,,,26-SEP-25,27-SEP-25,210000,279869.11666666664,271106.61666666664,0,34717.09,0,0,0,0,22195.11,46202.45,0,0
2569677,2396757,"A",25-SEP-25,0,,0,,0,15773.455961542337,75.16666666666666,0,0.2972222222222222,74.86944444444444,0,102463,104559,,,,,,1965322.9166666665,1965322.9166666665,1891623.3072916665,0,5667.01,0,0,0,0,34127.52,0,0,0
2575658,1042216,"A",14-SEP-25,0,,0,,2836.620944463572,1790.4540066614404,30.725,29.5625,9.333333333333334,21.39166666666667,0,101388,101122,,,,24-SEP-25,30-SEP-25,2226494.96125,2570252.3179166666,2442098.9240208333,0,291404.16000000003,0,0,0,0,199067.45,270184.44,0,0
2586040,1042844,"A",17-SEP-25,0,,0,,924.3342837075014,12102.37199691946,45.12916666666667,20.800000000000004,2.5999999999999996,42.52916666666667,0,106639,101122,,,,19-SEP-25,23-SEP-25,3065000,3097317.9166666665,3020285.625,0,151864.66,0,0,0,0,262765.33999999997,16026.25,0,0
2592052,1042668,"A",22-AUG-25,0,,0,,1848.7537356483106,5938.207321828463,25.058333333333334,16.595833333333342,6.125,18.933333333333334,0,100682,102955,,,,20-AUG-25,30-AUG-25,1440000,1904382.4922222223,1845201.033888889,0,205123.38,0,0,0,0,179614.73369999998,326210.27,0,0
2598169,1664115,"A",12-SEP-25,0,,0,,0,18276.96201197419,92.39583333333334,0,0,92.39583333333334,0,101735,104573,,,,,,2171302.083333333,2157030.013333333,2075606.1852083332,0,0,0,0,0,0,1191.54,-14272.07,0,0
