PORT_ID,TERMINAL_ID,IS_BALLAST,n_obs,median_days_in_port,p10_days_in_port,p90_days_in_port
104084,,1,33,1.0,0.95,5.978481481481482
110965,,0,30,1.2083333333333333,1.1833333333333333,1.2083333333333333
100998,,1,2,1.0,1.0,1.0
100156,,1,1,0.5,0.5,0.5
100385,,0,1,0.5,0.5,0.5
100694,,0,1,0.5,0.5,0.5
100817,,1,1,2.6555555555555554,2.6555555555555554,2.6555555555555554
100835,,1,1,0.5,0.5,0.5
100775,,1,1,0.5,0.5,0.5
100694,,1,1,3.0,3.0,3.0
101620,956004.0,1,1,0.5,0.5,0.5
101122,,1,1,0.5,0.5,0.5
102813,,1,1,0.2,0.2,0.2
102546,,1,1,1.4583333333333333,1.4583333333333333,1.4583333333333333
102847,,1,1,0.5,0.5,0.5
104146,,1,1,0.5,0.5,0.5
104317,,0,1,0.5,0.5,0.5
104780,,1,1,0.5,0.5,0.5
