"FLEET_PLAN_VOYAGE_ID","FLEET_PLAN_ID","VOYAGE_ID","VESSEL_ID","SEQUENCE","OFFHIRE_ID"
1102094,1013798,1046167,1038877,1,
1211734,1013798,1186013,1038877,2,
1701951,1013798,1216351,1038877,3,
1753595,1013798,1641798,1038877,4,
3043327,1013798,3042702,1039921,1,
1472398,1013798,1397007,1040549,1,
1054278,1013798,1053497,1040617,1,
1222394,1013798,1217904,1040617,2,
1276566,1013798,1270270,1040617,3,
1288327,1013798,1282433,1040617,4,
1062626,1013798,1061928,1040826,1,
1492607,1013798,1275456,1040826,2,
2111130,1013798,1219985,1040826,3,
1760013,1013798,1381027,1041021,1,
2154994,1013798,2152943,1041077,1,
2155670,1013798,2153539,1041077,2,
1563975,1013798,1547545,1041179,1,
1858887,1013798,1854438,1041179,2,
1905795,1013798,1905214,1041179,3,
1922994,1013798,1922508,1041179,4,
1924972,1013798,1924458,1041179,5,
1927495,1013798,1927075,1041179,6,
1946651,1013798,1946180,1041179,7,
2009421,1013798,2008558,1041179,8,
1064441,1013798,1050535,1041237,1,
1842595,1013798,1840822,1041237,2,
2096266,1013798,2095525,1041237,3,
1056289,1013798,1049467,1041307,1,
1878521,1013798,1876884,1041384,1,
1569954,1013798,1569121,1041768,1,
1571766,1013798,1571209,1041768,2,
1752402,1013798,1751761,1041848,1,
2946961,1013798,2064136,1041918,1,
1206723,1013798,1117971,1042074,1,
1442411,1013798,1441884,1042074,2,
1755338,1013798,1694482,1042074,3,
2809824,1013798,2808847,1042074,4,
1063777,1013798,1063007,1042150,1,
2089389,1013798,2033455,1042150,2,
1072328,1013798,1070479,1042278,1,
2030828,1013798,2025146,1042278,2,
3155121,1013798,2757881,1042278,3,
2775325,1013798,2774202,1042612,1,
1060960,1013798,1051407,1042784,1,
2146310,1013798,2145048,1042784,2,
2734439,1013798,2733212,1042784,3,
2806340,1013798,2805526,1042784,4,
1067496,1013798,1066854,1042900,1,
2733104,1013798,2732472,1042900,2,
1749846,1013798,1749267,1043022,1,
3114173,1013798,3113897,1043022,2,
1726599,1013798,1646701,1043108,1,
1055692,1013798,1054664,1043280,1,
2731437,1013798,2730005,1043488,1,
1472899,1013798,1396573,1043540,1,
1756562,1013798,1742611,1650272,1,
2012594,1013798,2012008,1650272,2,
1754646,1013798,1652137,1651778,1,
2948020,1013798,2662321,1668130,1,
2948722,1013798,2639324,1669802,1,
3067827,1013798,3066189,1832345,1,
3070095,1013798,3068424,1832345,2,
