"VOYAGE_ID","VESSEL_ID","VOYAGE_STATUS","ESTIMATED_VOYAGE_START_DATE","HAS_CANAL_PASSAGE","IS_BALLAST","CANAL_COST","MILES_DIRECT","MILES_BALLAST","MILES_LOADED","DAYS_TOTAL_AT_SEA","DAYS_TOTAL_IN_PORT","DAYS_BALLAST","DAYS_LOADED","DAYS_WAITING","ORIGIN_PORT_ID","DEST_PORT_ID","RP_BALLAST_ID","RP_LOADED_ID","TERMINAL_ID","LAYCAN_START_UTC","LAYCAN_END_UTC","FREIGHT","GROSS_FREIGHT","NET_FREIGHT","FREIGHT_COST","PORT_COST","HANDLING_COST","VOYAGE_CANAL_COST","FO_COST","DO_COST","VARIOUS_COST","VARIOUS_REVENUE","RUNNING_COST","RUNNING_COST_PER_DAY"
1044146,1043436,"T",27-JAN-25,0,0,0,,4419.994125705499,4419.994125705502,29.749960461479326,0,14.874980230739657,14.874980230739668,0,101122,,,,,,,2286570,2398570,2308623.625,0,180000,0,0,0,0,50000,112000,0,0
1046167,1038877,"A",27-JAN-25,0,0,0,,707.0550400205506,4646.209627091309,18.73642633489151,8.503999999999998,2.474692640071927,16.261733694819583,5.004,103029,,,,,04-FEB-25,05-FEB-25,1768710,1983710,1909320.875,0,236684.97,0,0,0,0,3225.5699999999997,0,0,0
1049012,1040617,"T",28-JAN-25,0,0,0,,4274,4274,30.137827115488072,0,15.068913557744036,15.068913557744038,0,103527,,,,,,,1111600,1111600,1069915,0,50000,0,0,0,0,0,0,0,0
1049467,1041307,"A",28-JAN-25,0,0,0,,4894.290339484522,6845.316106911035,39.508290925369664,12.059584986772478,16.471169411726756,23.037121513642905,0,103249,,,,,,,1880000,1980000,1871900,1755000,130000,0,0,0,0,50000,100000,0,0
1050535,1041237,"A",24-JUN-23,0,0,0,,4894.290339484522,6845.316106911035,41.088622562384444,0,17.130016188195825,23.958606374188623,0,103249,,,,,,,6110000,6110000,5758675,5703750,0,0,0,0,0,0,0,0,0
1051260,1043436,"T",27-JAN-25,0,0,0,,4419.994125705499,4419.994125705502,29.749960461479326,0,14.874980230739657,14.874980230739668,0,101122,,,,,,,2286570,2398570,2308623.625,0,180000,0,0,0,0,50000,112000,0,0
1051407,1042784,"A",20-AUG-22,0,0,0,,1660.9284929806392,9065.45709317572,33.35833333333333,0,4.570833333333334,28.787499999999994,0,103154,,,,,07-MAR-25,09-MAR-25,7190486.100000001,7674590.961111112,7332161.470166667,0,0,0,0,0,0,260.75,100493.75,0,0
1051812,1042724,"T",22-OCT-22,0,0,0,,1661,8871,35.44291605964153,0,5.5896631975309985,29.853252862110534,0,103154,,,,,,,475800,475800,475800,0,75000,0,0,0,0,0,0,0,0
1052097,1039921,"T",28-JAN-25,0,0,0,,707.0550400205506,4646.209627091309,18.73642633489151,0,2.474692640071927,16.261733694819583,0,103029,,,,,05-FEB-25,06-FEB-25,1768710,1768710,1702383.375,0,150000,0,0,0,0,0,0,0,0
1053497,1040617,"A",30-JAN-22,0,0,0,,634.3035518153733,1145.3949566168642,5.583333333333334,0,2.254166666666667,3.3291666666666666,0,100343,,,,,,,1025000,1955312.5,1828351.09375,0,99197.07359043907,0,0,0,0,5555,100000,0,0
1054395,1040617,"P",30-JAN-22,0,0,0,,634,1145,5.9893699803008,0,2.134675414763276,3.8546945655375238,0,100343,,,,,,,1025000,1043500,1010187.5,0,135000,0,0,0,0,0,18500,0,0
1054664,1043280,"A",29-JAN-25,0,0,0,,0,18809.688486725514,1080.0000000000002,0,0,1080.0000000000002,0,104233,,,,,,,38728620.83333334,38771145.41935485,36834714.377688184,0,0,0,0,0,0,0,0,0,0
1055843,1043280,"P",29-JAN-25,0,0,0,,0,10031,1080,0,0,1080,0,104233,,,,,,,38772000,38814565.58782024,37845265.58782024,0,0,0,0,0,0,0,0,0,0
1056464,1041307,"P",28-JAN-25,0,0,0,,4894,6845,39.508290925369664,0,16.471169411726756,23.037121513642905,0,103249,,,,,,,1880000,1880000,1771900,1755000,0,0,0,0,0,0,0,0,0
1059231,1042784,"T",30-AUG-22,0,0,0,,1661,8552,34.369955988566694,0,5.5896631975309985,28.7802927910357,0,103154,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1061191,1042784,"P",20-AUG-22,0,0,0,,1661,8977,36.26550805942929,0,6.055468463991914,30.210039595437376,0,103154,,,,,,,11515500,11615500,10944010,0,0,0,0,0,0,0,100000,0,0
1061928,1040826,"A",09-DEC-23,0,0,0,,629.2295685757045,1145.3949566168642,514.9583377270978,5.5,2.1458333333333335,512.8125043937645,0,100343,,,,,,,1025000,1111500,1078187.5,0,135000,0,0,0,0,5000,86500,0,0
1062743,1040826,"P",09-DEC-23,0,0,0,,629,1145,5.972294075167298,0,2.117599509629775,3.8546945655375233,0,100343,,,,,,,1025000,1043500,1010187.5,0,135000,0,0,0,0,0,18500,0,0
1063007,1042150,"A",29-JAN-25,0,0,0,,0,15177.977520156554,1079.9999999999998,0,0,1079.9999999999998,0,104233,,,,,,,38771999.99999999,38814572.97311828,37845272.97311828,0,0,0,0,0,0,0,0,0,0
1063892,1042150,"P",29-JAN-25,0,0,0,,0,10031,1080,0,0,1080,0,104233,,,,,,,38772000,38814565.90307057,37845265.90307057,0,0,0,0,0,0,0,0,0,0
1064616,1041237,"P",24-JUN-23,0,0,0,,4894,6845,41.088622562384444,0,17.130016188195825,23.958606374188623,0,103249,,,,,,,1880000,1880000,1771900,1755000,0,0,0,0,0,0,0,0,0
1066103,1043436,"T",27-JAN-25,0,0,0,,4420,4420,29.749960461479326,0,14.874980230739657,14.874980230739668,0,101122,,,,,,,2286570,2398570,2308623.625,0,180000,0,0,0,0,50000,112000,0,0
1066350,1043366,"T",27-JAN-25,0,0,0,,4420,4420,28.33329567759936,0,14.166647838799674,14.166647838799683,0,101122,,,,,,,2286570,2398570,2308623.625,0,180000,0,0,0,0,50000,112000,0,0
1066610,1043540,"T",29-JAN-25,0,0,0,,0,1649,5.550039459636952,0,0,5.550039459636952,0,103029,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1066854,1042900,"A",29-JAN-25,0,0,0,,3601.201896476669,21667.91146345066,89.08982274333353,0,12.696545147834412,76.39327759549911,0,101018,,,,,11-JAN-25,15-JAN-25,3360000,3440222,3336222,0,280000,0,0,0,0,0,80222,0,0
1067589,1042900,"P",29-JAN-25,0,0,0,,3601,12534,56.8886352285074,0,12.696545147834412,44.19209008067298,0,101018,,,,,11-JAN-25,15-JAN-25,2650000,2730000,2663750,0,280000,0,0,0,0,0,80000,0,0
1067945,1067879,"T",30-JAN-25,0,1,0,,3040,4108,24.057004768684806,0,10.231404262312775,13.82560050637203,0,101122,,,,,,,1191399.9999999998,1191399.9999999998,1146722.4999999998,0,90000,0,0,0,0,20000,0,0,0
1070479,1042278,"A",30-AUG-22,0,0,0,,1660.9284929806392,9056.008690577146,36.0666155215887,0,5.5896631975309985,30.476952324057706,0,103154,,,,,,,7229400,7329400,7000798,0,0,0,0,0,0,0,100000,0,0
1072585,1042278,"P",30-AUG-22,0,0,0,,1661,9056,36.0666155215887,0,5.5896631975309985,30.476952324057706,0,103154,,,,,,,7229400,7329400,7000798,0,0,0,0,0,0,0,100000,0,0
1074211,1041021,"T",03-FEB-25,0,0,0,,481.63569669651764,5314.995629481632,19.507893886176465,0,1.6208893638825113,17.887004522293953,0,104146,,,,,,,50000,50000,50000,0,0,0,0,0,0,0,0,0,0
1087147,1041918,"T",07-FEB-25,0,0,0,,5633,14154,70.85099445692362,0,21.02745897687039,49.82353548005322,0,100941,,,,907609,23-FEB-25,24-FEB-25,5000000,5000000,4812500,0,170000,0,0,0,0,40000,0,0,0
1090421,1038877,"T",24-FEB-25,0,0,0,,1578.062711303767,5314.995629481632,16.814665497945857,0,5.523219489563184,11.291446008382673,0,102955,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1092322,1038877,"T",02-JAN-25,0,0,0,,0,5314.995629481632,10.857372563974904,0,0,10.857372563974904,0,104078,,,,,,,0,10000,10000,0,100000,0,0,0,0,65000,10000,0,0
1092568,1041918,"T",07-FEB-25,0,0,0,,5633,14154,68.17725567989152,0,19.409962132495743,48.767293547395774,0,100941,,,,907609,23-FEB-25,24-FEB-25,5000000,5000000,4812500,0,170000,0,0,0,0,40000,0,0,0
1093555,1043366,"T",11-FEB-25,0,1,0,,7271,8187,55.165392197013624,0,26.509337169799714,28.65605502721391,1.4,103436,,,,,25-FEB-25,27-FEB-25,3662100,3662100,3524771.25,0,80000,0,0,0,0,40000,0,0,0
1095379,1067879,"T",30-JAN-25,0,1,0,,3040,4108,23.069461875372518,0,10.231404262312775,12.838057613059743,0,101122,,,,,,,1191399.9999999998,1191399.9999999998,1146722.4999999998,0,90000,0,0,0,0,20000,0,0,0
1102168,1038877,"P",27-JAN-25,0,0,0,,707.0550400205506,4646.209627091309,18.73642633489151,0,2.474692640071927,16.261733694819583,5.004,103029,,,,,04-FEB-25,05-FEB-25,1768710,1768710,1702383.375,0,150000,0,0,0,0,0,0,0,0
1114135,1043022,"T",27-FEB-25,0,0,0,,4416.1848750810495,4416.184875081052,29.724321274584,0,14.862160637291995,14.862160637292003,0,101122,,,,,,,4713800,4825800,4619571.25,0,180000,0,0,0,0,50000,112000,0,0
1117971,1042074,"A",27-FEB-25,0,0,0,,4416.1848750810495,13248.554625243156,59.448642549168,0,14.862160637291995,44.58648191187601,0,101122,,,,,,,4334650.268185288,4558650.268185288,4396100.883128339,0,176332.8,0,0,0,0,134989.95,224000,0,0
1121839,1043022,"T",27-FEB-25,0,0,0,,4416.1848750810495,13248.554625243156,59.448642549168,0,14.862160637291995,44.58648191187601,0,101122,,,,,,,4713800,4713800,4537032.5,0,0,0,0,0,0,100000,0,0,0
1167726,1041307,"T",15-AUG-23,0,0,0,,2289.1831165841318,14332.99242247515,56.488275144999854,0,7.703981642350443,48.78429350264941,0,101851,,,,,,,3439428,3439428,3398574.45,0,120000,0,0,0,0,0,0,0,0
1176764,1042784,"T",01-NOV-22,0,0,0,,1848.7537356483106,4856.749746941201,23.34492353867323,0,6.2217673795856605,17.123156159087568,0,101967,,,,,04-APR-25,14-APR-25,1840000,1840000,1771000,0,190000,0,0,0,0,40000,0,0,0
1178806,1038877,"T",24-FEB-25,0,0,0,,0,4809.278818680013,16.832475865380044,0,0,16.832475865380044,0,102955,,,,,23-FEB-25,25-FEB-25,1100000,1120000,1092500,0,75000,0,0,0,0,20000,20000,0,0
1186013,1038877,"T",24-FEB-25,0,0,0,,2100.400334970864,14073.893879980464,57.14917289282803,0,7.421414516897053,49.727758375930975,0,102955,,,,,,,2397600,2606578,2546638,0,0,0,0,0,0,0,208978,0,0
1206852,1042074,"P",27-FEB-25,0,0,0,,4416.1848750810495,13248.554625243156,59.448642549168,0,14.862160637291995,44.58648191187601,0,101122,,,,,,,4334650.268185288,4558650.268185288,4396100.883128339,0,360000,0,0,0,0,100000,224000,0,0
1216351,1038877,"A",25-APR-25,0,0,0,,1383.2568898395868,9308.607248369126,38.093902504545255,0,6.003335536945758,32.0905669675995,0,102819,,,,,06-APR-25,06-JUN-25,4167274.5,5088098.133424238,4930764.792799238,0,500000,0,0,0,0,48831,892542.3834242385,0,0
1217904,1040617,"A",25-JAN-24,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,01-APR-25,07-APR-25,1840000,2173000,2104000,0,185000,0,0,0,0,12500,333000,0,0
1218240,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,03-MAY-25,09-MAY-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1218581,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,05-JUN-25,11-JUN-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1218926,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,07-JUL-25,13-JUL-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1219275,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,09-AUG-25,15-AUG-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1219628,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,10-SEP-25,16-SEP-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1219985,1040826,"T",26-AUG-25,0,0,0,,4310.552243930596,4856.749746941201,30.85149802350361,0,14.506667144374566,16.34483087912904,0,101110,,,,,13-OCT-25,19-OCT-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1220347,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,14-NOV-25,20-NOV-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1220714,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,17-DEC-25,23-DEC-25,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1221085,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,18-JAN-26,24-JAN-26,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1221460,1041307,"T",15-AUG-23,0,0,0,,4702.142641371842,4879.463508076253,32.24578992602724,0,15.824518504616776,16.421271421410466,0,103765,,,,,20-FEB-26,26-FEB-26,1840000,1840000,1771000,0,185000,0,0,0,0,0,0,0,0
1221839,1042668,"T",08-MAR-26,0,0,0,,1874.3562268869846,4879.463508076253,23.51116633690773,0,6.3079296097158135,17.203236727191918,9.35,101967,,,,,24-MAR-26,30-MAR-26,1840000,3825974.155125104,3756974.155125104,0,185000,0,0,0,0,20000,1985974.155125104,0,0
