PORT_ID,TERMINAL_ID,IS_BALLAST,VESSEL_TYPE_ID,MONTH_NO,median_days_in_port,n_obs,specificity_score,level
104040.0,960119.0,0.0,1038665.0,,4.0,5,15,1
104040.0,960119.0,0.0,,,4.0,5,14,3
103029.0,,1.0,1038665.0,,0.375,56,11,1
104526.0,,1.0,1038665.0,,2.0,39,11,1
100469.0,,0.0,1038665.0,,5.011904756944444,31,11,1
101967.0,,0.0,1038665.0,,2.0,27,11,1
100682.0,,1.0,1038665.0,,5.011898148148148,24,11,1
101122.0,,0.0,1039859.0,,0.25,24,11,1
103029.0,,0.0,1038665.0,,0.25,24,11,1
101435.0,,0.0,1038665.0,,0.5,23,11,1
104526.0,,0.0,1038665.0,,2.0,20,11,1
101122.0,,0.0,1038665.0,,2.588987268518519,16,11,1
102955.0,,0.0,1038665.0,,3.4166666666666665,16,11,1
103527.0,,0.0,1038665.0,,2.0,16,11,1
102825.0,,1.0,1038665.0,,3.0,15,11,1
100469.0,,0.0,1039859.0,,0.5,14,11,1
103378.0,,1.0,1038665.0,,0.5,14,11,1
100265.0,,0.0,1038665.0,,0.5,12,11,1
100963.0,,0.0,1038665.0,,1.0,12,11,1
106354.0,,0.0,1038665.0,,0.5,12,11,1
110107.0,,1.0,1038665.0,,0.25,11,11,1
100343.0,,0.0,1038665.0,,0.5,10,11,1
101962.0,,0.0,1038665.0,,0.25,10,11,1
103029.0,,1.0,1039859.0,,2.38505787037037,10,11,1
101677.0,,1.0,1038665.0,,4.773819444444444,9,11,1
102517.0,,1.0,1038665.0,,2.25,9,11,1
102567.0,,0.0,1038665.0,,0.5,9,11,1
103029.0,,0.0,1039859.0,,0.25,9,11,1
104146.0,,1.0,1039859.0,,0.25,9,11,1
100195.0,,0.0,1038665.0,,3.618125,8,11,1
100694.0,,0.0,1039859.0,,0.25,8,11,1
100817.0,,0.0,1039859.0,,0.25,8,11,1
101506.0,,0.0,1038665.0,,4.25,8,11,1
102355.0,,0.0,1039859.0,,1.2496643518518518,8,11,1
102379.0,,0.0,1038665.0,,0.25,8,11,1
102955.0,,0.0,1039859.0,,1.75,8,11,1
103274.0,,0.0,1038665.0,,1.3333333333333333,8,11,1
104526.0,,0.0,1039859.0,,0.5,8,11,1
104559.0,,1.0,1038665.0,,1.25,8,11,1
101014.0,,0.0,1038665.0,,2.25,7,11,1
101122.0,,1.0,1039859.0,,0.25,7,11,1
101799.0,,0.0,1038665.0,,2.25,7,11,1
102146.0,,0.0,1039859.0,,0.5,7,11,1
104284.0,,0.0,1038665.0,,1.25,7,11,1
101040.0,,1.0,1038665.0,,8.583333333333334,6,11,1
101110.0,,0.0,1038665.0,,0.25,6,11,1
101234.0,,0.0,1038665.0,,2.25,6,11,1
101278.0,,1.0,1038665.0,,3.0,6,11,1
101379.0,,0.0,1038665.0,,2.5,6,11,1
101390.0,,0.0,1038665.0,,2.5,6,11,1
