PORT_CALL_ID,VOYAGE_ID,PORT_ID,TERMINAL_ID,IS_BALLAST,VESSEL_ID,VESSEL_TYPE_ID,MONTH_NO,HAS_CANAL_PASSAGE,DWT_SUMMER,DRAFT_SUMMER,LOA,BEAM,DAYS_IN_PORT,COMMODITY_ID,COMMODITY_GROUP_ID,COMMODITY_CODE,DAYS_STOPPAGES,DAYS_EXTRA_IN_PORT
1194331,1194322,,,,,,,,,,,,0.5,,,,0,0.5
1826092,1826087,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.5,,,,0,0.5
1298888,1297142,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.5,1033424.0,,1.0,0,0.5
1194323,1194322,,,,,,,,,,,,3.0,,,,0,3.0
1199884,1036006,,,,,,,,,,,,0.5,,,,0,0.5
1057459,1038251,,,,,,,,,,,,2.655555555555555,,,,0,2.655555555555555
1719952,1719947,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.5,1033424.0,,1.0,0,0.5
1036850,1036006,,,,,,,,,,,,1.0,,,,0,1.0
1194325,1194322,,,,,,,,,,,,1.0,,,,0,1.0
1266764,1266759,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.5,,,,0,0.5
1194327,1194322,,,,,,,,,,,,0.5,,,,0,0.5
1087352,1038251,,,,,,,,,,,,1.4583333333333333,,,,0,1.4583333333333333
1200106,1036006,,,,,,,,,,,,0.2,,,,0,0.2
1200071,1036006,,,,,,,,,,,,0.5,,,,0,0.5
1035771,1035768,,,,1033547.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,1.2083333333333333,1033424.0,,1.0,0,0.5
1039549,1039544,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,0.9583333333333334,1033424.0,,1.0,0,0.25
1065740,1065737,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,5.978472222222222,1033424.0,,1.0,0,0.5
1066039,1066034,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,5.978483796296296,1033424.0,,1.0,0,0.5
1066437,1066432,,,,1033479.0,1033476.0,,0.0,8800.0,0.0,130.0,21.0,5.978483796296296,1033424.0,,1.0,0,0.5
