"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","COLUMN_ID"
"TBL_CANAL","CANAL_ID","NUMBER",22,,0,"N",1
"TBL_CANAL","EXTRA_TIME","FLOAT",22,126,,"Y",2
"TBL_CANAL","PORT_ID","NUMBER",22,,0,"Y",3
"TBL_CARGO","BASELINE_TERM_ID","NUMBER",22,,0,"Y",1
"TBL_CARGO","BASELINE_TERM_2_ID","NUMBER",22,,0,"Y",2
"TBL_CARGO","BL_DATE","DATE",7,,,"Y",3
"TBL_CARGO","BOOKED_QUANTITY","FLOAT",22,126,,"Y",4
"TBL_CARGO","BROKER_NAME","VARCHAR2",40,,,"Y",5
"TBL_CARGO","CARGO_ID","NUMBER",22,,0,"N",6
"TBL_CARGO","CARGO_MATCH","VARCHAR2",1,,,"N",7
"TBL_CARGO","CARGO_MEASUREMENT_ID","NUMBER",22,,0,"N",8
"TBL_CARGO","CARGO_QUANTITY","FLOAT",22,126,,"Y",9
"TBL_CARGO","CARGO_REFERENCE","VARCHAR2",16,,,"Y",10
"TBL_CARGO","CARGO_SUB_REFERENCE","VARCHAR2",4,,,"Y",11
"TBL_CARGO","CARGO_TEXT","VARCHAR2",160,,,"Y",12
"TBL_CARGO","CHARTERER_ID","NUMBER",22,,0,"Y",13
"TBL_CARGO","CHARTERER_NAME","VARCHAR2",80,,,"Y",14
"TBL_CARGO","COA_ID","NUMBER",22,,0,"Y",15
"TBL_CARGO","COA_LINE_ID","NUMBER",22,,0,"Y",16
"TBL_CARGO","COATING_TYPE_ID","NUMBER",22,,0,"Y",17
"TBL_CARGO","COMMISSION","FLOAT",22,126,,"Y",18
"TBL_CARGO","COMMISSION_ADDRESS","FLOAT",22,126,,"Y",19
"TBL_CARGO","COMMISSION_BROKER","FLOAT",22,126,,"Y",20
"TBL_CARGO","COMMODITY_ID","NUMBER",22,,0,"Y",21
"TBL_CARGO","COMMODITY_NAME","VARCHAR2",64,,,"Y",22
"TBL_CARGO","CP_DATE","DATE",7,,,"Y",23
"TBL_CARGO","CRUDE_OIL_ID","NUMBER",22,,0,"Y",24
"TBL_CARGO","DEADFREIGHT","FLOAT",22,126,,"Y",25
"TBL_CARGO","DEMURRAGE","FLOAT",22,126,,"Y",26
"TBL_CARGO","DEMURRAGE_RATE","FLOAT",22,126,,"Y",27
"TBL_CARGO","DEMURRAGE_TIME_BAR","NUMBER",22,,0,"Y",28
"TBL_CARGO","DESPATCH","FLOAT",22,126,,"Y",29
"TBL_CARGO","DESPATCH_RATE","FLOAT",22,126,,"Y",30
"TBL_CARGO","DO_BUNKER_ADJUSTMENT","FLOAT",22,126,,"Y",31
"TBL_CARGO","DO_PRICE","FLOAT",22,126,,"Y",32
"TBL_CARGO","EXCHANGE_RATE","FLOAT",22,126,,"Y",33
"TBL_CARGO","EXPORTER_ID","NUMBER",22,,0,"Y",34
"TBL_CARGO","FINAL_DESTINATION","VARCHAR2",64,,,"Y",35
"TBL_CARGO","FLAT_RATE","FLOAT",22,126,,"Y",36
"TBL_CARGO","FO_BUNKER_ADJUSTMENT","FLOAT",22,126,,"Y",37
"TBL_CARGO","FO_PRICE","FLOAT",22,126,,"Y",38
"TBL_CARGO","FREIGHT","FLOAT",22,126,,"Y",39
"TBL_CARGO","FREIGHT_CURRENCY_ID","NUMBER",22,,0,"N",40
"TBL_CARGO","FREIGHT_MEASUREMENT_ID","NUMBER",22,,0,"Y",41
"TBL_CARGO","FREIGHT_RATE","FLOAT",22,126,,"Y",42
"TBL_CARGO","GROSS_FREIGHT","FLOAT",22,126,,"Y",43
"TBL_CARGO","HANDLING_COST","FLOAT",22,126,,"Y",44
"TBL_CARGO","HAS_N2_PADDING","NUMBER",22,,0,"Y",45
"TBL_CARGO","IS_CARGO_IGNORED","NUMBER",22,,0,"Y",46
"TBL_CARGO","IS_DEMURRAGE_FIXED","NUMBER",22,,0,"Y",47
"TBL_CARGO","IS_DESPATCH_FIXED","NUMBER",22,,0,"Y",48
"TBL_CARGO","IS_LAYCAN_REACHABLE","NUMBER",22,,0,"Y",49
"TBL_CARGO","IS_LUMPSUM","NUMBER",22,,0,"Y",50
"TBL_CARGO","IS_ON_DECK","NUMBER",22,,0,"Y",51
"TBL_CARGO","IS_REVERSIBLE","NUMBER",22,,0,"Y",52
"TBL_CARGO","LAYCAN_FROM","DATE",7,,,"Y",53
"TBL_CARGO","LAYCAN_MISSED_BY","FLOAT",22,126,,"Y",54
"TBL_CARGO","LAYCAN_TO","DATE",7,,,"Y",55
"TBL_CARGO","LAYTIME_ALLOWED","FLOAT",22,126,,"Y",56
"TBL_CARGO","LAYTIME_EXPIRE_DATE","DATE",7,,,"Y",57
"TBL_CARGO","LAYTIME_TERMS_ID","NUMBER",22,,0,"Y",58
"TBL_CARGO","LAYTIME_TERMS_VALUE","FLOAT",22,126,,"Y",59
"TBL_CARGO","LAYTIME_USED","FLOAT",22,126,,"Y",60
"TBL_CARGO","LAYTIME_USED_FROM_DATE","DATE",7,,,"Y",61
"TBL_CARGO","LAYTIME_USED_TO_DATE","DATE",7,,,"Y",62
"TBL_CARGO","MINIMUM_QUANTITY","FLOAT",22,126,,"Y",63
"TBL_CARGO","NET_FREIGHT","FLOAT",22,126,,"Y",64
"TBL_CARGO","OVERRAGE","FLOAT",22,126,,"Y",65
"TBL_CARGO","PAYMENT_TERMS_ID","NUMBER",22,,0,"Y",66
"TBL_CARGO","PAYMENT_TERMS_2_ID","NUMBER",22,,0,"Y",67
