"VOYAGE_ID","N_CARGO_ROWS","N_UNIQUE_CARGO","TOTAL_CARGO_QUANTITY"
1044146,1,1,130000
1046167,1,1,145000
1049012,1,1,35000
1049467,2,2,80000
1050535,2,2,260000
1051260,1,1,130000
1051407,5,5,43734.844
1051812,2,2,2440
1052097,1,1,145000
1053497,1,1,36002.312
1054395,1,1,38000
1056464,2,2,80000
1059231,1,1,0
1061191,5,5,65900
1061928,1,1,36002.312
1062743,1,1,38000
1064616,2,2,80000
1066103,1,1,130000
1066350,1,1,130000
1066610,1,1,0
1066854,2,2,80000
1067589,1,1,40000
1067945,1,1,37000
1070479,5,5,43920
1072585,5,5,43920
1074211,1,1,5000
1087147,1,1,145000
1090421,1,1,10000
1092322,1,1,0
1092568,1,1,145000
1093555,1,1,130000
1095379,1,1,37000
1102168,1,1,145000
1114135,2,2,260000
1117971,2,2,260000
1121839,2,2,260000
1167726,2,2,84000
1176764,1,1,40000
1178806,1,1,130000
1186013,1,1,142000
1206852,2,2,260000
1216351,1,1,135000
1217904,1,1,40000
1218240,1,1,40000
1218581,1,1,40000
1218926,1,1,40000
1219275,1,1,40000
1219628,1,1,40000
1219985,1,1,40000
1220347,1,1,40000
1220714,1,1,40000
1221085,1,1,40000
1221460,1,1,40000
1222852,1,1,40000
1223491,2,2,140000
1224951,2,2,140000
1225691,2,2,140000
1256959,1,1,130000
1258771,1,1,130000
1259762,1,1,130000
1267163,1,1,0
1269182,1,1,37000
1270270,1,1,49950
1270805,1,1,35000
1272642,1,1,40000
1274843,1,1,35000
1275456,2,2,50000
1275899,1,1,35000
1276622,1,1,50000
1277164,1,1,20000
1278957,1,1,40000
1281967,1,1,145000
1282433,2,2,69700.44
1282985,1,1,38000
1285633,1,1,40000
1287130,2,2,70000
1288406,2,2,70000
1289673,1,1,130000
1296562,1,1,130000
1319949,1,1,130000
1381027,1,1,35000
1396573,1,1,42000
1397007,1,1,40000
1452308,5,5,43734.844
1452492,1,1,36002.312
1452594,1,1,36002.312
1452647,1,1,145000
1452697,2,2,80000
1452790,2,2,80000
1453020,5,5,43920
1453126,2,2,80000
1453369,1,1,40000
1453393,1,1,49950
1453437,2,2,69700.44
1453616,2,2,260000
1472449,1,1,40000
1472965,1,1,0
1492670,1,1,50000
1547545,1,1,36940.47
1564026,1,1,37000
1569121,1,1,1000
1570009,1,1,1000
1571209,1,1,135000
1571798,1,1,1000
1593952,1,1,40000
1595146,1,1,42000
1597092,1,1,0
1597601,1,1,35000
1598027,2,2,130000
1598447,1,1,40000
1641798,1,1,140000
1642754,1,1,130000
1646701,1,1,132000
1652137,1,1,130000
1655473,1,1,130000
1697446,1,1,35000
1702035,1,1,135000
1726713,1,1,130000
1739850,1,1,130000
1742611,1,1,145000
1749267,1,1,130000
1749898,1,1,130000
1751761,1,1,130000
1752451,1,1,130000
1753648,1,1,140000
1754695,1,1,130000
1756644,1,1,145000
1760058,1,1,35000
1785171,2,2,260000
1785240,1,1,130000
1785273,1,1,130000
1785339,2,2,260000
1785457,1,1,130000
1796744,1,1,130000
1809610,1,1,135000
1809689,1,1,140000
1809793,1,1,135000
1809872,1,1,140000
1810449,1,1,135000
1811156,1,1,0
1833237,1,1,37000
1834182,2,2,38000
1840822,1,1,130000
1853953,1,1,37000
1854438,1,1,37000
1857423,1,1,130000
1858994,1,1,37000
1866091,1,1,130000
1876884,1,1,1450000
1878592,1,1,1450000
1892574,1,1,130000
1893323,1,1,130000
1893860,1,1,130000
1905214,1,1,40000
1905847,1,1,40000
1909421,1,1,130000
1914781,1,1,130000
1915713,1,1,130000
1922508,1,1,12000
1923049,1,1,12000
1923958,1,1,10000
1924458,1,1,10000
1925025,1,1,10000
1926502,1,1,10000
1927075,1,1,1000
1927530,1,1,10000
1941370,1,1,130000
1946180,1,1,109000
1946704,1,1,109000
1951400,1,1,0
1959139,1,1,38000
1976375,1,1,40000
1976979,1,1,5000
1988372,1,1,35000
2003443,1,1,0
2007876,1,1,130000
2008558,1,1,0
2009513,1,1,37000
2011421,1,1,130000
2012008,1,1,130000
2022707,1,1,40000
2025723,1,1,37000
2027531,1,1,35000
2028423,1,1,0
2029147,1,1,37000
2039325,2,2,35000
2060665,1,1,35000
2061947,1,1,35000
2063270,1,1,35000
2064136,1,1,130000
2065717,1,1,35000
2069196,1,1,0
2070739,1,1,37000
2075512,1,1,1000
2076267,1,1,0
2076775,1,1,0
2077784,1,1,130000
2078290,1,1,0
2079402,1,1,35000
2084991,1,1,35000
2085779,1,1,35000
2087156,1,1,0
2091829,1,1,0
2093055,1,1,0
2104964,1,1,20
2106353,1,1,0
2108571,1,1,0
2109530,1,1,35000
2119524,1,1,37000
2121522,1,1,40000
2123250,1,1,37000
2123761,1,1,40000
2128143,1,1,0
2143065,1,1,0
2145048,1,1,35000
2145486,1,1,0
2146381,1,1,35000
2152943,1,1,37000
2153539,1,1,40000
2155044,1,1,37000
2155815,1,1,40000
2174779,1,1,130000
2206280,1,1,37000
2209892,1,1,37000
2212414,1,1,0
2217471,1,1,40000
2218286,2,2,20000
2222263,1,1,135000
2222360,1,1,145000
2222410,1,1,140000
2222494,1,1,130000
2222532,2,2,260000
2222752,1,1,1450000
2222794,1,1,1000
2222826,1,1,135000
2222906,1,1,130000
2222989,1,1,130000
2223057,1,1,145000
2223300,2,2,260000
2223476,1,1,130000
2223534,1,1,130000
2372703,1,1,35000
2373236,1,1,35000
2375353,1,1,0
2426323,1,1,0
2494974,1,1,37000
2509355,1,1,30000
2515710,1,1,38000
2537071,1,1,130000
2608970,1,1,35000
2628507,1,1,38000
2628928,1,1,130000
2630227,1,1,37000
2639324,1,1,500000
2639982,1,1,0
2644918,1,1,130000
2644968,2,2,260000
2645803,1,1,130000
2646140,1,1,0
2646891,1,1,0
2648938,1,1,38000
2652626,2,2,90000
2661666,1,1,130000
2662321,1,1,38000
2666910,1,1,37000
2667528,1,1,38000
2669637,1,1,37000
2678693,1,1,0
2679115,1,1,0
2684265,1,1,37000
2685351,1,1,0
2689339,1,1,37000
2711859,1,1,37000
