fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038667,1072585,1
1013798,1038667,1050535,2
1013798,1038667,1064616,3
1013798,1038667,1063892,4
1013798,1038667,1046167,5
1013798,1038667,1051407,6
1013798,1038706,1066854,1
1013798,1038706,1066103,2
1013798,1038877,1055843,1
1013798,1039666,1059231,1
1013798,1039921,1056464,1
1013798,1039921,1054664,2
1013798,1040471,1066350,1
1013798,1040471,1066610,2
1013798,1040471,1052097,3
1013798,1040549,1051812,1
1013798,1040549,1062743,2
1013798,1040617,1067589,1
1013798,1040617,1049467,2
1013798,1040826,1049012,1
1013798,1040826,1067945,2
1013798,1040969,1053497,1
1013798,1040969,1061191,2
1013798,1040969,1044146,3
1013798,1040969,1051260,4
1013798,1040969,1063007,5
1013798,1040969,1074211,6
