fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1039921,2807132,1
1013798,1039921,6016002,2
1013798,1040617,2562584,1
1013798,1041021,2575658,1
1013798,1041021,3294862,2
1013798,1041021,4587371,3
1013798,1041021,4346189,4
1013798,1041021,6567835,5
1013798,1041021,7701025,6
1013798,1041077,2451079,1
1013798,1041077,3094623,2
1013798,1041077,3861554,3
1013798,1041077,4896786,4
1013798,1041077,6149968,5
1013798,1041077,5751898,6
1013798,1041077,5483051,7
1013798,1041077,9362785,8
1013798,1041125,2640463,1
1013798,1041125,2898467,2
1013798,1041125,3525231,3
1013798,1041125,4195869,4
1013798,1041125,7532638,5
1013798,1041125,7951315,6
1013798,1041179,4210119,1
1013798,1041179,5675110,2
1013798,1041237,6473963,1
1013798,1041237,8474082,2
1013798,1041384,2636822,1
1013798,1041384,2500387,2
1013798,1041462,2616787,1
1013798,1041462,2451540,2
1013798,1041462,3650194,3
1013798,1041542,5170273,1
1013798,1041542,6831190,2
1013798,1041542,5729668,3
1013798,1041620,8104040,1
1013798,1041768,2682898,1
1013798,1041848,5065667,1
1013798,1041848,7490640,2
1013798,1041918,4343037,1
1013798,1041918,5887798,2
1013798,1041918,6637426,3
1013798,1041918,8205866,4
1013798,1041990,2648862,1
1013798,1042074,2806680,1
1013798,1042150,2566984,1
1013798,1042150,2868980,2
1013798,1042150,3534788,3
1013798,1042216,2555081,1
1013798,1042216,3261149,2
1013798,1042278,4594504,1
1013798,1042278,5333519,2
1013798,1042278,6893063,3
1013798,1042278,7079802,4
1013798,1042278,9292718,5
1013798,1042332,2612485,1
1013798,1042444,6495556,1
1013798,1042500,2684880,1
1013798,1042500,4207988,2
1013798,1042500,4605315,3
1013798,1042612,3001385,1
1013798,1042668,8442713,1
1013798,1042668,2592052,2
1013798,1042668,2673434,3
1013798,1042668,2877845,4
1013798,1042668,4393038,5
1013798,1042668,5895181,6
1013798,1042668,5645949,7
1013798,1042724,3773684,1
1013798,1042724,3196402,2
1013798,1042724,6103858,3
1013798,1042784,4474159,1
1013798,1042784,2426203,2
1013798,1042784,3093856,3
1013798,1042784,4714961,4
1013798,1042784,5166640,5
1013798,1042784,8086667,6
1013798,1042844,2586040,1
1013798,1042900,2527525,1
1013798,1042900,2699838,2
1013798,1042956,5765437,1
1013798,1042956,7149879,2
1013798,1042956,8694366,3
1013798,1042956,7331521,4
1013798,1043022,2607144,1
1013798,1043022,2867287,2
1013798,1043022,3661401,3
1013798,1043022,4224577,4
1013798,1043022,5718967,5
1013798,1043108,2643680,1
1013798,1043108,2598169,2
1013798,1043194,2426749,1
1013798,1043194,2604355,2
1013798,1043280,6424902,1
1013798,1043366,3641675,1
1013798,1043366,6106539,2
1013798,1043366,6692575,3
1013798,1043366,7571969,4
1013798,1043488,2692498,1
1013798,1043488,2498440,2
1013798,1651778,2693105,1
1013798,1651778,2569677,2
1013798,1651778,3182326,3
1013798,1651778,4089387,4
1013798,1656475,3771538,1
1013798,1656475,6230767,2
1013798,1656475,5160934,3
1013798,1656475,5600308,4
1013798,1656475,6294943,5
1013798,1664115,3442311,1
1013798,1668130,2449522,1
1013798,1668130,2811690,2
1013798,1668130,3395341,3
1013798,1668130,4855703,4
1013798,1668130,5981784,5
1013798,1668130,6300232,6
