fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1039921,5765437,1
1013798,1039921,7149879,2
1013798,1040617,4474159,1
1013798,1040617,2616787,2
1013798,1040617,2575658,3
1013798,1041021,6567835,1
1013798,1041021,7701025,2
1013798,1041077,2607144,1
1013798,1041077,2867287,2
1013798,1041077,3196402,3
1013798,1041077,6103858,4
1013798,1041125,3525231,1
1013798,1041179,4210119,1
1013798,1041179,5675110,2
1013798,1041237,5729668,1
1013798,1041384,5600308,1
1013798,1041462,2562584,1
1013798,1041462,2555081,2
1013798,1041542,4594504,1
1013798,1041542,6473963,2
1013798,1041620,5160934,1
1013798,1041696,2451079,1
1013798,1041768,2451540,1
1013798,1041768,3001385,2
1013798,1041768,4224577,3
1013798,1041768,6495556,4
1013798,1041848,5065667,1
1013798,1041848,7490640,2
1013798,1041918,2699838,1
1013798,1041990,2648862,1
1013798,1041990,2807132,2
1013798,1041990,6016002,3
1013798,1042074,5718967,1
1013798,1042150,2566984,1
1013798,1042150,2868980,2
1013798,1042150,4855703,3
1013798,1042150,6294943,4
1013798,1042150,8205866,5
1013798,1042150,8104040,6
1013798,1042216,6424902,1
1013798,1042216,7951315,2
1013798,1042278,3094623,1
1013798,1042278,5333519,2
1013798,1042278,6893063,3
1013798,1042332,2449522,1
1013798,1042444,2498440,1
1013798,1042444,3442311,2
1013798,1042500,2684880,1
1013798,1042500,4207988,2
1013798,1042500,6230767,3
1013798,1042556,2898467,1
1013798,1042556,4605315,2
1013798,1042556,6149968,3
1013798,1042556,8694366,4
1013798,1042612,2500387,1
1013798,1042668,2592052,1
1013798,1042668,2673434,2
1013798,1042668,2877845,3
1013798,1042668,4393038,4
1013798,1042668,4195869,5
1013798,1042668,7532638,6
1013798,1042724,3771538,1
1013798,1042724,3661401,2
1013798,1042724,5981784,3
1013798,1042724,6300232,4
1013798,1042784,2636822,1
1013798,1042784,3093856,2
1013798,1042784,4714961,3
1013798,1042784,5166640,4
1013798,1042784,8086667,5
1013798,1042844,2569677,1
1013798,1042844,3182326,2
1013798,1042844,5895181,3
1013798,1042900,2612485,1
1013798,1042900,3395341,2
1013798,1042900,4346189,3
1013798,1042900,4089387,4
1013798,1042956,2640463,1
1013798,1042956,3534788,2
1013798,1042956,3773684,3
1013798,1042956,5645949,4
1013798,1042956,7079802,5
1013798,1042956,9292718,6
1013798,1043022,2682898,1
1013798,1043022,3861554,2
1013798,1043022,4896786,3
1013798,1043022,5751898,4
1013798,1043022,5483051,5
1013798,1043022,9362785,6
1013798,1043108,2643680,1
1013798,1043108,2586040,2
1013798,1043194,2426749,1
1013798,1043280,2426203,1
1013798,1043366,2527525,1
1013798,1043366,3261149,2
1013798,1043366,3641675,3
1013798,1043366,6106539,4
1013798,1043366,6692575,5
1013798,1043366,7571969,6
1013798,1043366,8474082,7
1013798,1043488,2811690,1
1013798,1043488,2806680,2
1013798,1043488,4343037,3
1013798,1043488,5887798,4
1013798,1043488,6637426,5
1013798,1651778,2693105,1
1013798,1656475,2604355,1
1013798,1656475,3294862,2
1013798,1656475,4587371,3
1013798,1664115,2598169,1
1013798,1668130,2692498,1
1013798,1668130,3650194,2
1013798,1668130,5170273,3
1013798,1668130,6831190,4
1013798,1668130,7331521,5
