fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038877,1046167,1
1013798,1038877,1186013,2
1013798,1038877,1216351,3
1013798,1039921,2808847,1
1013798,1039921,3042702,2
1013798,1040549,1397007,1
1013798,1040617,1061928,1
1013798,1040617,1270270,2
1013798,1040617,1282433,3
1013798,1040617,1063007,4
1013798,1040617,1051407,5
1013798,1040617,1275456,6
1013798,1040826,1219985,1
1013798,1041021,1381027,1
1013798,1041077,2152943,1
1013798,1041077,2153539,2
1013798,1041179,1854438,1
1013798,1041179,1547545,2
1013798,1041179,1641798,3
1013798,1041179,1742611,4
1013798,1041179,3066189,5
1013798,1041179,1946180,6
1013798,1041179,2733212,7
1013798,1041179,1924458,8
1013798,1041179,1927075,9
1013798,1041179,1905214,10
1013798,1041179,2008558,11
1013798,1041179,1922508,12
1013798,1041237,1840822,1
1013798,1041237,2095525,2
1013798,1041307,1049467,1
1013798,1041384,1876884,1
1013798,1041768,1569121,1
1013798,1041768,1571209,2
1013798,1041848,1751761,1
1013798,1041918,2064136,1
1013798,1042074,1117971,1
1013798,1042074,1217904,2
1013798,1042074,1441884,3
1013798,1042074,1694482,4
1013798,1042150,2033455,1
1013798,1042278,2145048,1
1013798,1042278,2757881,2
1013798,1042612,1070479,1
1013798,1042612,1050535,2
1013798,1042612,2774202,3
1013798,1042784,2805526,1
1013798,1042900,1066854,1
1013798,1043022,1749267,1
1013798,1043022,3113897,2
1013798,1043108,1646701,1
1013798,1043280,1054664,1
1013798,1043488,2730005,1
1013798,1043540,1396573,1
1013798,1650272,2012008,1
1013798,1651778,1652137,1
1013798,1668130,2662321,1
1013798,1669802,2639324,1
1013798,1832345,3068424,1
