fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038877,1046167,1
1013798,1038877,1186013,2
1013798,1038877,1216351,3
1013798,1038877,1547545,4
1013798,1038877,1641798,5
1013798,1039921,3042702,1
1013798,1040549,1397007,1
1013798,1040617,1217904,1
1013798,1040826,1219985,1
1013798,1041021,1854438,1
1013798,1041021,1381027,2
1013798,1041021,1694482,3
1013798,1041077,2153539,1
1013798,1041179,2774202,1
1013798,1041179,1054664,2
1013798,1041237,2095525,1
1013798,1041307,1049467,1
1013798,1041307,1051407,2
1013798,1041384,1275456,1
1013798,1041384,1441884,2
1013798,1041768,1569121,1
1013798,1041768,1571209,2
1013798,1041848,1751761,1
1013798,1041918,1905214,1
1013798,1041918,2064136,2
1013798,1042074,1117971,1
1013798,1042150,2012008,1
1013798,1042150,2808847,2
1013798,1042150,2033455,3
1013798,1042278,1050535,1
1013798,1042278,1270270,2
1013798,1042784,2733212,1
1013798,1042900,1061928,1
1013798,1042900,1066854,2
1013798,1043022,2152943,1
1013798,1043022,3113897,2
1013798,1043108,1646701,1
1013798,1043280,1053497,1
1013798,1043280,1070479,2
1013798,1043280,2025146,3
1013798,1043280,2145048,4
1013798,1043280,2757881,5
1013798,1043280,1282433,6
1013798,1043280,1063007,7
1013798,1043488,2730005,1
1013798,1043540,1396573,1
1013798,1650272,1742611,1
1013798,1651778,1652137,1
1013798,1668130,1749267,1
1013798,1668130,1840822,2
1013798,1668130,1924458,3
1013798,1668130,1922508,4
1013798,1668130,2662321,5
1013798,1669802,2008558,1
1013798,1669802,2639324,2
1013798,1832345,2732472,1
1013798,1832345,3066189,2
1013798,1832345,1946180,3
1013798,1832345,1876884,4
1013798,1832345,1927075,5
1013798,1832345,2805526,6
1013798,1832345,3068424,7
