fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038877,1046167,1
1013798,1038877,1186013,2
1013798,1038877,1216351,3
1013798,1039921,3068424,1
1013798,1039921,3042702,2
1013798,1039921,2033455,3
1013798,1040549,1051407,1
1013798,1040549,1397007,2
1013798,1040549,1275456,3
1013798,1040617,1217904,1
1013798,1040826,1927075,1
1013798,1040826,2805526,2
1013798,1040826,2662321,3
1013798,1040826,1219985,4
1013798,1041021,1396573,1
1013798,1041021,1381027,2
1013798,1041021,1694482,3
1013798,1041077,2153539,1
1013798,1041179,1854438,1
1013798,1041179,1547545,2
1013798,1041179,2732472,3
1013798,1041179,3066189,4
1013798,1041179,1946180,5
1013798,1041237,2095525,1
1013798,1041307,1049467,1
1013798,1041384,1749267,1
1013798,1041384,1876884,2
1013798,1041384,1922508,3
1013798,1041384,2639324,4
1013798,1041768,1569121,1
1013798,1041768,1571209,2
1013798,1041768,1641798,3
1013798,1041848,1751761,1
1013798,1041918,1905214,1
1013798,1041918,2064136,2
1013798,1042074,1117971,1
1013798,1042150,1063007,1
1013798,1042784,2152943,1
1013798,1042784,1840822,2
1013798,1042784,2733212,3
1013798,1043022,3113897,1
1013798,1043022,1924458,2
1013798,1043022,2012008,3
1013798,1043022,2808847,4
1013798,1043108,1441884,1
1013798,1043108,1652137,2
1013798,1043108,1646701,3
1013798,1043280,1054664,1
1013798,1043488,2730005,1
1013798,1043540,2008558,1
1013798,1650272,1742611,1
