fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038877,2774202,1
1013798,1038877,1046167,2
1013798,1038877,1186013,3
1013798,1038877,1216351,4
1013798,1038877,1569121,5
1013798,1038877,1641798,6
1013798,1039921,2808847,1
1013798,1039921,3042702,2
1013798,1040617,1050535,1
1013798,1040617,1061928,2
1013798,1040617,1270270,3
1013798,1040617,1282433,4
1013798,1040617,1049467,5
1013798,1040617,1054664,6
1013798,1041077,1646701,1
1013798,1041077,1742611,2
1013798,1041077,2152943,3
1013798,1041077,2153539,4
1013798,1041179,1066854,1
1013798,1041179,1063007,2
1013798,1041179,1051407,3
1013798,1041179,1854438,4
1013798,1041179,1547545,5
1013798,1041179,2732472,6
1013798,1041179,3066189,7
1013798,1041179,1946180,8
1013798,1041179,1876884,9
1013798,1041179,1924458,10
1013798,1041179,1927075,11
1013798,1041179,1905214,12
1013798,1041179,2008558,13
1013798,1041179,1922508,14
1013798,1041237,1840822,1
1013798,1041237,1751761,2
1013798,1041237,2095525,3
1013798,1042074,1117971,1
1013798,1042074,1396573,2
1013798,1042074,1381027,3
1013798,1042074,1441884,4
1013798,1042074,1694482,5
1013798,1042784,2639324,1
1013798,1042784,2805526,2
1013798,1042784,3068424,3
1013798,1042784,1219985,4
1013798,1042784,2033455,5
1013798,1043022,1217904,1
1013798,1043022,1397007,2
1013798,1043022,1275456,3
1013798,1043022,1571209,4
1013798,1043022,1652137,5
1013798,1043022,1749267,6
1013798,1043022,3113897,7
1013798,1668130,2012008,1
1013798,1668130,2064136,2
1013798,1668130,2662321,3
1013798,1668130,2730005,4
