fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1039921,2807132,1
1013798,1039921,6016002,2
1013798,1041021,6567835,1
1013798,1041021,7701025,2
1013798,1041077,4474159,1
1013798,1041077,2426203,2
1013798,1041077,2636822,3
1013798,1041077,2867287,4
1013798,1041125,2607144,1
1013798,1041125,2500387,2
1013798,1041179,4210119,1
1013798,1041179,5675110,2
1013798,1041237,8474082,1
1013798,1041384,2673434,1
1013798,1041384,2640463,2
1013798,1041384,2498440,3
1013798,1041384,3001385,4
1013798,1041462,2555081,1
1013798,1041462,3261149,2
1013798,1041542,8104040,1
1013798,1041620,2684880,1
1013798,1041696,2612485,1
1013798,1041696,2451079,2
1013798,1041848,5065667,1
1013798,1041848,7490640,2
1013798,1041918,8205866,1
1013798,1041990,2648862,1
1013798,1042150,2566984,1
1013798,1042150,2604355,2
1013798,1042150,2868980,3
1013798,1042150,3534788,4
1013798,1042278,3773684,1
1013798,1042278,5333519,2
1013798,1042278,6893063,3
1013798,1042278,7079802,4
1013798,1042278,9292718,5
1013798,1042500,4207988,1
1013798,1042500,4605315,2
1013798,1042668,2592052,1
1013798,1042668,2562584,2
1013798,1042668,2616787,3
1013798,1042668,2575658,4
1013798,1042668,2877845,5
1013798,1042668,4393038,6
1013798,1042668,5895181,7
1013798,1042668,6473963,8
1013798,1042724,3094623,1
1013798,1042724,3771538,2
1013798,1042724,3861554,3
1013798,1042724,3196402,4
1013798,1042724,6103858,5
1013798,1042784,3093856,1
1013798,1042784,4714961,2
1013798,1042784,5166640,3
1013798,1042784,8086667,4
1013798,1042844,2586040,1
1013798,1042900,2527525,1
1013798,1042900,2451540,2
1013798,1042900,2449522,3
1013798,1042900,3395341,4
1013798,1042900,4346189,5
1013798,1042900,5600308,6
1013798,1042956,5765437,1
1013798,1042956,5645949,2
1013798,1042956,7149879,3
1013798,1042956,8694366,4
1013798,1042956,7331521,5
1013798,1043022,2682898,1
1013798,1043108,2643680,1
1013798,1043108,2598169,2
1013798,1043108,2699838,3
1013798,1043194,2426749,1
1013798,1043366,3641675,1
1013798,1043366,6106539,2
1013798,1043366,6692575,3
1013798,1043366,7571969,4
1013798,1651778,8442713,1
1013798,1651778,2693105,2
1013798,1651778,2569677,3
1013798,1651778,3182326,4
1013798,1656475,3294862,1
1013798,1656475,4587371,2
1013798,1664115,6424902,1
1013798,1664115,6637426,2
