fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038877,1186013,1
1013798,1038877,1216351,2
1013798,1040617,1217904,1
1013798,1040826,1051407,1
1013798,1040826,1397007,2
1013798,1040826,1275456,3
1013798,1041021,1396573,1
1013798,1041021,1381027,2
1013798,1041021,1694482,3
1013798,1041077,2153539,1
1013798,1041179,1854438,1
1013798,1041179,1547545,2
1013798,1041179,2732472,3
1013798,1041179,3066189,4
1013798,1041179,1946180,5
1013798,1041237,2095525,1
1013798,1041384,1749267,1
1013798,1041384,1876884,2
1013798,1041384,1922508,3
1013798,1041384,3068424,4
1013798,1041384,3042702,5
1013798,1041768,1571209,1
1013798,1041768,1742611,2
1013798,1041848,1751761,1
1013798,1041918,2064136,1
1013798,1042074,1117971,1
1013798,1042150,2808847,1
1013798,1042150,2033455,2
1013798,1042278,1927075,1
1013798,1042784,1840822,1
1013798,1042784,2733212,2
1013798,1043022,2008558,1
1013798,1043108,1646701,1
1013798,1043280,1569121,1
1013798,1043280,1641798,2
1013798,1043488,1441884,1
1013798,1043488,1652137,2
1013798,1650272,2012008,1
1013798,1650272,2730005,2
1013798,1668130,1905214,1
1013798,1668130,2805526,2
1013798,1668130,2662321,3
1013798,1668130,1219985,4
1013798,1669802,2152943,1
1013798,1669802,3113897,2
1013798,1669802,1924458,3
1013798,1669802,2639324,4
