fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1040549,1216351,1
1013798,1040549,1397007,2
1013798,1040617,1053497,1
1013798,1040617,1070479,2
1013798,1040617,2025146,3
1013798,1040617,2145048,4
1013798,1040617,1270270,5
1013798,1040617,1282433,6
1013798,1040617,1063007,7
1013798,1040617,1054664,8
1013798,1040617,1854438,9
1013798,1040617,1217904,10
1013798,1040617,1381027,11
1013798,1040617,1547545,12
1013798,1040617,1441884,13
1013798,1040826,1050535,1
1013798,1040826,1061928,2
1013798,1040826,2774202,3
1013798,1040826,1066854,4
1013798,1040826,1049467,5
1013798,1040826,1186013,6
1013798,1040826,1051407,7
1013798,1040826,1396573,8
1013798,1040826,1275456,9
1013798,1040826,1569121,10
1013798,1040826,1571209,11
1013798,1040826,2732472,12
1013798,1040826,1694482,13
1013798,1040826,1641798,14
1013798,1040826,1652137,15
1013798,1040826,1646701,16
1013798,1040826,1742611,17
1013798,1040826,3066189,18
1013798,1040826,2152943,19
1013798,1040826,2153539,20
1013798,1040826,1749267,21
1013798,1040826,1946180,22
1013798,1040826,3113897,23
1013798,1040826,1840822,24
1013798,1040826,2733212,25
1013798,1040826,1751761,26
1013798,1040826,1876884,27
1013798,1040826,2095525,28
1013798,1040826,1924458,29
1013798,1040826,2008558,30
1013798,1040826,1922508,31
1013798,1040826,2012008,32
1013798,1040826,2805526,33
1013798,1040826,2662321,34
1013798,1040826,2808847,35
1013798,1040826,3042702,36
1013798,1040826,2033455,37
