fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038667,1282985,1
1013798,1038667,1066854,2
1013798,1038667,1067589,3
1013798,1038706,1471225,1
1013798,1038877,1074211,1
1013798,1038877,1052097,2
1013798,1039666,1167726,1
1013798,1039921,1274843,1
1013798,1040471,1270805,1
1013798,1040549,1293013,1
1013798,1040549,1259762,2
1013798,1040549,1597601,3
1013798,1040549,1564026,4
1013798,1040549,1218240,5
1013798,1040617,1642754,1
1013798,1040826,1186013,1
1013798,1040969,1304222,1
1013798,1041021,1276622,1
1013798,1041077,1049012,1
1013798,1041125,1056464,1
1013798,1041179,1492670,1
1013798,1041237,1281967,1
1013798,1041307,1063892,1
1013798,1041384,1289673,1
1013798,1041462,1114135,1
1013798,1041462,1222852,2
1013798,1041462,1217904,3
1013798,1041462,1176764,4
1013798,1041462,1216351,5
1013798,1041462,1285633,6
1013798,1041462,1397007,7
1013798,1041462,1472449,8
1013798,1041462,1256959,9
1013798,1041462,1381027,10
1013798,1041542,1063007,1
1013798,1041620,1049467,1
1013798,1041696,1307241,1
1013798,1041768,1053497,1
1013798,1041848,1287130,1
1013798,1041918,1288406,1
1013798,1041990,1050535,1
1013798,1042074,1051812,1
1013798,1042150,1269182,1
1013798,1042216,1117971,1
1013798,1042278,1294569,1
1013798,1042332,1044146,1
1013798,1042388,1090421,1
1013798,1042444,1070479,1
1013798,1042500,1054664,1
1013798,1042500,1046167,2
1013798,1042556,1593952,1
1013798,1042556,1258771,2
1013798,1042556,1296562,3
1013798,1042556,1275456,4
1013798,1042556,1547545,5
1013798,1042612,1655473,1
1013798,1042612,1219628,2
1013798,1042612,1220347,3
1013798,1042612,1221460,4
1013798,1042668,1095379,1
1013798,1042668,1092568,2
1013798,1042668,1093555,3
1013798,1042668,1396573,4
1013798,1042724,1061191,1
1013798,1042784,1223491,1
1013798,1042844,1282433,1
1013798,1042900,1066350,1
1013798,1042956,1072585,1
1013798,1043022,1059231,1
1013798,1043108,1066103,1
1013798,1043194,1569121,1
1013798,1043194,1571209,2
1013798,1043194,1218581,3
1013798,1043194,1641798,4
1013798,1043194,1652137,5
1013798,1043194,1218926,6
1013798,1043194,1219985,7
1013798,1043194,1221839,8
1013798,1043280,1646701,1
1013798,1043280,1220714,2
1013798,1043366,1067945,1
1013798,1043366,1087147,2
1013798,1043366,1178806,3
1013798,1043436,1055843,1
1013798,1043436,1102168,2
1013798,1043488,1121839,1
1013798,1043488,1051407,2
1013798,1043540,1270270,1
1013798,1067879,1305989,1
1013798,1095347,1206852,1
1013798,1215839,1598027,1
1013798,1229091,1305120,1
1013798,1595696,1064616,1
1013798,1650272,1571798,1
1013798,1650272,1595146,2
1013798,1650272,1319949,3
1013798,1650272,1219275,4
1013798,1650272,1221085,5
1013798,1651778,1697446,1
1013798,1656475,1267163,1
1013798,1664115,1051260,1
1013798,1668130,1570009,1
1013798,1669802,1306530,1
1013798,1832345,1225691,1
1013798,2638396,1092322,1
1013798,2638622,1441884,1
1013798,2752276,1224951,1
1013798,2752660,1275899,1
