fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038877,1061928,1
1013798,1038877,1282433,2
1013798,1038877,1046167,3
1013798,1038877,1186013,4
1013798,1038877,1216351,5
1013798,1038877,1569121,6
1013798,1038877,1641798,7
1013798,1040826,2808847,1
1013798,1040826,1219985,2
1013798,1041077,1646701,1
1013798,1041077,2152943,2
1013798,1041077,2153539,3
1013798,1041077,1751761,4
1013798,1041179,1066854,1
1013798,1041179,1063007,2
1013798,1041179,1396573,3
1013798,1041179,1854438,4
1013798,1041179,1547545,5
1013798,1041179,2732472,6
1013798,1041179,3066189,7
1013798,1041179,1946180,8
1013798,1041179,2733212,9
1013798,1041179,1924458,10
1013798,1041179,1927075,11
1013798,1041179,1905214,12
1013798,1041179,2008558,13
1013798,1041179,1922508,14
1013798,1041179,2639324,15
1013798,1041179,2064136,16
1013798,1041179,2662321,17
1013798,1041179,2730005,18
1013798,1041237,1840822,1
1013798,1041237,1876884,2
1013798,1041237,2095525,3
1013798,1042074,1049467,1
1013798,1042074,1117971,2
1013798,1042074,1397007,3
1013798,1042074,1441884,4
1013798,1042074,1694482,5
1013798,1042074,1652137,6
1013798,1043022,1217904,1
1013798,1043022,1381027,2
1013798,1043022,1571209,3
1013798,1043022,1742611,4
1013798,1043022,1749267,5
1013798,1043022,3113897,6
1013798,1832345,2012008,1
1013798,1832345,2805526,2
1013798,1832345,3068424,3
1013798,1832345,3042702,4
1013798,1832345,2033455,5
