fleet_plan_key,vessel_key,voyage_key,sequence,start,end,duration_days,laycan_start,laycan_end
1013798,1038877,1046167,1,2025-02-04 00:00:00,2025-02-23 14:06:19,19.587724538582844,2025-02-04,2025-02-05
1013798,1038877,1186013,2,2025-02-24 00:00:00,2025-04-22 03:51:28,57.16074380191433,2025-02-24,2025-02-24
1013798,1038877,1216351,3,2025-04-22 03:51:24,2025-05-30 06:50:43,38.12452825766915,2025-04-06,2025-06-06
1013798,1038877,1275456,4,2025-05-30 06:50:50,2025-09-19 15:57:59,112.37996240864653,2025-04-30,2025-05-17
1013798,1039921,3042702,1,2025-11-05 00:00:00,2025-12-20 23:21:28,45.97324630198164,2025-11-05,2025-11-05
1013798,1040549,1051407,1,2025-03-07 00:00:00,2025-04-14 05:51:56,38.24439439637625,2025-03-07,2025-03-09
1013798,1040549,1397007,2,2025-04-21 00:00:00,2025-05-11 08:50:51,20.36864685439781,2025-04-21,2025-04-25
1013798,1040617,1217904,1,2025-04-01 00:00:00,2025-05-05 06:28:02,34.269465796694774,2025-04-01,2025-04-07
1013798,1040826,1219985,1,2025-10-13 00:00:00,2025-11-14 19:56:31,32.83090969052708,2025-10-13,2025-10-19
1013798,1041021,1381027,1,2025-04-30 00:00:00,2025-05-19 12:46:58,19.532620930188507,2025-04-30,2025-05-01
1013798,1041021,1694482,2,2025-06-03 00:00:00,2025-07-03 17:46:54,30.74090258294609,2025-06-03,2025-06-03
1013798,1041077,2153539,1,2025-06-26 00:00:00,2025-08-04 07:47:22,39.32456028970373,2025-06-26,2025-06-26
1013798,1041179,1854438,1,2025-03-16 00:00:00,2025-03-29 19:18:10,13.804280415267696,2025-03-16,2025-03-18
1013798,1041179,1547545,2,2025-05-01 00:00:00,2025-05-13 22:45:41,12.948388413698625,2025-05-01,2025-05-02
1013798,1041179,2732472,3,2025-05-20 00:00:00,2025-06-13 20:42:56,24.863152878712658,2025-05-20,2025-05-21
1013798,1041179,1742611,4,2025-06-23 00:00:00,2025-07-29 23:36:45,36.983849205044386,2025-06-23,2025-06-23
1013798,1041179,1946180,5,2025-07-29 23:36:40,2025-09-09 00:53:14,41.053173925931425,2025-07-09,2025-08-09
1013798,1041179,2733212,6,2025-09-09 00:53:17,2025-10-19 19:48:36,40.78841649631112,2025-07-17,2025-09-26
1013798,1041237,2152943,1,2025-06-26 00:00:00,2025-07-08 21:05:45,12.878995085257655,2025-06-26,2025-06-26
1013798,1041237,1840822,2,2025-07-14 00:00:00,2025-08-10 13:29:40,27.562272357683298,2025-07-14,2025-07-15
1013798,1041237,1751761,3,2025-08-10 13:29:43,2025-09-16 05:34:52,36.670248073819494,2025-07-17,2025-07-18
1013798,1041237,2095525,4,2025-09-16 05:34:48,2025-12-02 00:15:21,76.7781654750692,2025-07-26,2025-07-26
1013798,1041307,1049467,1,2025-01-28 00:00:00,2025-03-10 18:18:02,41.7625223833179,2025-01-28,2025-01-28
1013798,1041384,3066189,1,2025-06-26 00:00:00,2025-07-27 05:45:09,31.23968589406466,2025-06-26,2025-06-26
1013798,1041384,1749267,2,2025-07-27 05:45:10,2025-08-18 07:36:51,22.077561624702376,2025-06-27,2025-06-28
1013798,1041768,1569121,1,2025-05-08 00:00:00,2025-05-09 08:36:21,1.358581761996797,2025-05-08,2025-05-08
1013798,1041768,1571209,2,2025-05-09 08:36:23,2025-05-10 17:12:44,1.358581761996797,2025-05-08,2025-05-10
1013798,1041848,2774202,1,2025-01-24 00:00:00,2025-02-04 00:36:07,11.025077738384217,2024-09-23,2024-09-25
1013798,1041848,1066854,2,2025-02-04 00:36:09,2025-05-03 18:21:43,88.73997694419211,2025-01-11,2025-01-15
1013798,1041918,1905214,1,2025-08-01 00:00:00,2025-08-08 18:25:46,7.7678978551809825,2025-08-01,2025-08-03
1013798,1041918,2064136,2,2025-09-10 00:00:00,2025-11-03 02:22:30,54.098958941982055,2025-09-10,2025-09-12
1013798,1042074,1117971,1,2025-02-27 00:00:00,2025-04-30 08:03:42,62.33590104279238,2025-02-27,2025-02-27
1013798,1042150,2808847,1,2025-09-29 00:00:00,2025-11-07 17:44:10,39.73900126090308,2025-09-29,2025-09-30
1013798,1042150,2033455,2,2026-03-22 00:00:00,2026-05-15 16:12:27,54.6753099210514,2026-03-22,2026-03-22
1013798,1042612,1063007,1,2025-01-29 00:00:00,2025-03-23 16:49:53,53.701310833876924,2025-01-29,2025-01-29
